unix_time,frame_ts_us,tracker_id,cx_px,cy_px,bx,by,w_px,h_px,processing_time_s
1763656249.0404954,2480000,2,328.0334167480469,181.35128784179688,16,9,44,33,0.0
1763656249.0404954,2480000,3,214.1809539794922,169.99302673339844,10,8,58,64,0.0
1763656249.0720634,2515000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.0720634,2515000,2,326.1305847167969,181.17410278320312,16,9,45,33,0.0
1763656249.0720634,2515000,3,210.10049438476562,175.68878173828125,10,8,57,67,0.0
1763656249.1046574,2545000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.1046574,2545000,2,324.2120361328125,181.10601806640625,16,9,45,33,0.0
1763656249.1046574,2545000,3,206.5745849609375,181.34494018554688,10,9,57,67,0.0
1763656249.1407413,2580000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.1407413,2580000,2,322.347412109375,180.9329071044922,16,9,45,32,0.0
1763656249.1407413,2580000,3,203.5379180908203,186.71990966796875,10,9,55,70,0.0
1763656249.1697812,2615000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.1697812,2615000,2,320.203857421875,180.8948516845703,16,9,45,32,0.0
1763656249.1697812,2615000,3,200.36911010742188,193.110595703125,10,9,52,72,0.0
1763656249.2029977,2645000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.2029977,2645000,2,317.8338623046875,180.88565063476562,15,9,45,33,0.0
1763656249.2029977,2645000,3,197.0975341796875,200.03475952148438,9,10,50,69,0.0
1763656249.2405252,2680000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.2405252,2680000,2,314.8877258300781,181.0635528564453,15,9,44,33,0.0
1763656249.2405252,2680000,3,194.32281494140625,206.87518310546875,9,10,48,72,0.0
1763656249.270163,2715000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.270163,2715000,2,312.8965148925781,181.24392700195312,15,9,44,34,0.0
1763656249.270163,2715000,3,192.27642822265625,213.5565948486328,9,10,45,75,0.0
1763656249.3015375,2745000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.3015375,2745000,2,310.6174621582031,181.51400756835938,15,9,44,33,0.0
1763656249.3015375,2745000,3,190.431396484375,221.36822509765625,9,11,41,72,0.0
1763656249.3392642,2780000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.3392642,2780000,2,308.52069091796875,181.7184295654297,15,9,46,33,0.0
1763656249.3392642,2780000,3,188.9076385498047,229.53684997558594,9,11,40,78,0.0
1763656249.3706398,2815000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.3706398,2815000,2,306.1555480957031,182.10101318359375,15,9,45,34,0.0
1763656249.3706398,2815000,3,188.2858428955078,236.1869354248047,9,11,38,78,0.0
1763656249.402375,2845000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.402375,2845000,2,304.44268798828125,182.56466674804688,15,9,45,34,0.0
1763656249.402375,2845000,3,187.74459838867188,242.8648223876953,9,12,36,78,0.0
1763656249.4407208,2880000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.4407208,2880000,2,301.83642578125,183.1199493408203,15,9,45,35,0.0
1763656249.4407208,2880000,3,187.55633544921875,249.09066772460938,9,12,36,78,0.0
1763656249.4721437,2915000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.4721437,2915000,2,299.612548828125,183.75650024414062,14,9,43,35,0.0
1763656249.4721437,2915000,3,187.93807983398438,257.72772216796875,9,12,38,78,0.0
1763656249.5042558,2945000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.5042558,2945000,2,297.5735168457031,184.392822265625,14,9,43,35,0.0
1763656249.5042558,2945000,3,188.61878967285156,264.39666748046875,9,13,39,77,0.0
1763656249.5410771,2980000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.5410771,2980000,2,295.2292175292969,185.3000030517578,14,9,44,35,0.0
1763656249.5410771,2980000,3,189.87164306640625,271.77557373046875,9,13,41,82,0.0
1763656249.570179,3015000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.570179,3015000,2,292.6666564941406,186.12026977539062,14,9,43,36,0.0
1763656249.570179,3015000,3,191.39373779296875,279.00836181640625,9,13,44,79,0.0
1763656249.6024394,3045000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.6024394,3045000,2,290.8177185058594,187.07215881347656,14,9,42,36,0.0
1763656249.6024394,3045000,3,193.07562255859375,285.8963317871094,9,14,46,78,0.0
1763656249.6403584,3080000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.6403584,3080000,2,288.20355224609375,188.064208984375,14,9,41,36,0.0
1763656249.6403584,3080000,3,195.5201873779297,292.7790222167969,9,14,49,79,0.0
1763656249.6704624,3115000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.6704624,3115000,2,286.1509704589844,189.10110473632812,14,9,41,36,0.0
1763656249.6704624,3115000,3,198.51080322265625,300.3504943847656,9,15,52,77,0.0
1763656249.7020323,3145000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.7020323,3145000,2,283.28070068359375,190.94444274902344,14,9,40,36,0.0
1763656249.7020323,3145000,3,201.3834686279297,305.8247985839844,10,15,54,78,0.0
1763656249.7414782,3180000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.7414782,3180000,2,281.54718017578125,192.2940216064453,14,9,40,37,0.0
1763656249.7414782,3180000,3,204.49266052246094,311.8076477050781,10,15,56,75,0.0
1763656249.770944,3215000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.770944,3215000,2,279.72320556640625,194.3679962158203,13,9,39,37,0.0
1763656249.770944,3215000,3,208.60365295410156,318.4806823730469,10,15,59,74,0.0
1763656249.802543,3245000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.802543,3245000,2,277.61187744140625,196.03321838378906,13,9,38,36,0.0
1763656249.802543,3245000,3,212.4582061767578,324.5160217285156,10,16,60,73,0.0
1763656249.8396301,3280000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.8396301,3280000,2,275.81365966796875,198.33395385742188,13,9,38,35,0.0
1763656249.8396301,3280000,3,216.680908203125,329.8514404296875,10,16,63,72,0.0
1763656249.8721561,3315000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.8721561,3315000,2,274.02679443359375,199.63035583496094,13,9,38,36,0.0
1763656249.8721561,3315000,3,221.30230712890625,335.2673034667969,11,16,66,72,0.0
1763656249.9036279,3345000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.9036279,3345000,2,272.9173583984375,200.86280822753906,13,10,38,37,0.0
1763656249.9036279,3345000,3,226.359375,340.8710021972656,11,17,69,69,0.0
1763656249.9395545,3380000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.9395545,3380000,2,271.83551025390625,201.82969665527344,13,10,39,37,0.0
1763656249.9395545,3380000,3,233.14035034179688,346.852783203125,11,17,75,69,0.0
1763656249.9696336,3415000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.9696336,3415000,2,271.0438232421875,203.03736877441406,13,10,40,39,0.0
1763656249.9696336,3415000,3,239.10557556152344,351.69122314453125,11,17,76,66,0.0
1763656250.0032206,3445000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.0032206,3445000,2,269.65948486328125,204.3944854736328,13,10,40,40,0.0
1763656250.0032206,3445000,3,244.53460693359375,355.71484375,12,17,77,65,0.0
1763656250.0414088,3480000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.0414088,3480000,2,268.78369140625,205.70101928710938,13,10,41,42,0.0
1763656250.0414088,3480000,3,250.7053680419922,359.707275390625,12,17,80,61,0.0
1763656250.070385,3515000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.070385,3515000,2,267.60711669921875,206.855712890625,13,10,41,42,0.0
1763656250.070385,3515000,3,256.5386657714844,363.0486755371094,12,18,81,59,0.0
1763656250.1009896,3545000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.1009896,3545000,2,266.3356628417969,208.47203063964844,13,10,40,41,0.0
1763656250.1009896,3545000,3,262.94580078125,366.4241638183594,13,18,80,56,0.0
1763656250.1407444,3580000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.1407444,3580000,2,265.0108642578125,210.4358673095703,13,10,39,42,0.0
1763656250.1407444,3580000,3,270.011474609375,369.41064453125,13,18,84,54,0.0
1763656250.1719933,3615000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.1719933,3615000,2,263.8371276855469,212.45228576660156,13,10,40,43,0.0
1763656250.1719933,3615000,3,278.1888122558594,372.5754089355469,13,18,85,51,0.0
1763656250.2018309,3645000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.2018309,3645000,2,262.56256103515625,214.37843322753906,13,10,40,43,0.0
1763656250.2018309,3645000,3,284.6475830078125,374.68017578125,14,18,83,50,0.0
1763656250.2414236,3680000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.2414236,3680000,2,261.7131042480469,216.0113525390625,13,10,39,44,0.0
1763656250.2414236,3680000,3,291.95867919921875,376.55096435546875,14,18,82,46,0.0
1763656250.2721026,3715000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.2721026,3715000,2,260.4970703125,218.1546630859375,13,10,39,43,0.0
1763656250.2721026,3715000,3,302.1151123046875,378.2906799316406,15,18,85,41,0.0
1763656250.3029232,3745000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.3029232,3745000,2,259.75323486328125,219.88800048828125,12,10,39,44,0.0
1763656250.3029232,3745000,3,308.97265625,379.0323181152344,15,18,79,40,0.0
1763656250.3407419,3780000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.3407419,3780000,2,258.9865417480469,221.99807739257812,12,11,39,44,0.0
1763656250.3407419,3780000,3,314.5875244140625,379.5268249511719,15,18,80,36,0.0
1763656250.3697367,3815000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.3697367,3815000,2,258.2510986328125,224.63975524902344,12,11,38,46,0.0
1763656250.3697367,3815000,3,323.84832763671875,379.46258544921875,16,18,83,37,0.0
1763656250.4021494,3845000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.4021494,3845000,2,257.4469299316406,226.69244384765625,12,11,38,46,0.0
1763656250.4021494,3845000,3,331.0407409667969,379.18072509765625,16,18,84,38,0.0
1763656250.4425821,3880000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.4425821,3880000,2,256.7409973144531,228.76438903808594,12,11,38,46,0.0
1763656250.4425821,3880000,3,339.12982177734375,378.3611755371094,16,18,80,40,0.0
1763656250.4698436,3915000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.4698436,3915000,2,256.0251159667969,231.01023864746094,12,11,37,46,0.0
1763656250.4698436,3915000,3,345.7523498535156,377.05694580078125,17,18,80,42,0.0
1763656250.5021355,3945000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.5021355,3945000,2,255.58607482910156,233.15615844726562,12,11,36,46,0.0
1763656250.5021355,3945000,3,352.7876892089844,375.4137878417969,17,18,79,45,0.0
1763656250.5397844,3980000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.5397844,3980000,2,255.13363647460938,236.27545166015625,12,11,35,46,0.0
1763656250.5397844,3980000,3,360.6585388183594,372.95361328125,18,18,81,48,0.0
1763656250.571952,4015000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.571952,4015000,2,254.992431640625,238.52651977539062,12,11,35,45,0.0
1763656250.571952,4015000,3,366.45159912109375,371.0225524902344,18,18,78,49,0.0
1763656250.6018505,4045000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.6018505,4045000,2,254.80235290527344,240.23287963867188,12,12,34,46,0.0
1763656250.6018505,4045000,3,373.5426940917969,367.93280029296875,18,18,75,51,0.0
1763656250.6402004,4080000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.6402004,4080000,2,254.82289123535156,242.2825927734375,12,12,34,46,0.0
1763656250.6402004,4080000,3,380.08734130859375,364.6724853515625,19,18,74,52,0.0
1763656250.6715446,4115000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.6715446,4115000,2,254.7134552001953,244.6501007080078,12,12,34,45,0.0
1763656250.6715446,4115000,3,386.5471496582031,361.2603454589844,19,18,73,54,0.0
1763656250.702768,4145000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.702768,4145000,2,254.5466766357422,247.0612030029297,12,12,34,45,0.0
1763656250.702768,4145000,3,391.6789855957031,358.0730895996094,19,17,71,56,0.0
1763656250.740131,4180000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.740131,4180000,2,254.77720642089844,249.9359130859375,12,12,35,45,0.0
1763656250.740131,4180000,3,399.777587890625,352.4951477050781,19,17,69,62,0.0
1763656250.7695875,4215000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.7695875,4215000,2,254.93869018554688,252.3314208984375,12,12,35,45,0.0
1763656250.7695875,4215000,3,405.1495361328125,347.9974060058594,20,17,68,64,0.0
1763656250.802643,4245000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.802643,4245000,2,255.33489990234375,254.7251434326172,12,12,36,46,0.0
1763656250.802643,4245000,3,410.1477966308594,343.4824523925781,20,17,65,67,0.0
1763656250.8411033,4280000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.8411033,4280000,2,255.72451782226562,256.67584228515625,12,12,36,47,0.0
1763656250.8411033,4280000,3,414.56640625,338.8854064941406,20,16,63,69,0.0
1763656250.8722565,4315000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.8722565,4315000,2,255.9810028076172,258.9076843261719,12,12,36,47,0.0
1763656250.8722565,4315000,3,418.694091796875,333.86761474609375,20,16,65,71,0.0
1763656250.901876,4345000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.901876,4345000,2,256.3214111328125,261.02685546875,12,13,37,46,0.0
1763656250.901876,4345000,3,423.2056579589844,328.3682556152344,21,16,61,74,0.0
1763656250.940374,4380000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656250.940374,4380000,2,256.9459228515625,263.3448486328125,12,13,37,47,0.0
