unix_time,frame_ts_us,id,cx,cy,vx,vy,bx,by,pbx,pby,w,h,processing_time
1763666218.8863752,2015000,3,473.52203369140625,335.084716796875,-62.87591,13.728918,23,16,23,16,48,39,0.0
1763666218.8863752,2015000,4,129.31854248046875,392.9350891113281,-49.654106,57.52271,6,19,6,20,47,56,0.0
1763666218.8863752,2015000,5,261.2960510253906,349.1916809082031,-13.576354,-73.5353,13,17,12,16,38,58,0.0
1763666218.9197512,2045000,1,141.00782775878906,231.43226623535156,-34.74542,50.421513,7,11,6,11,42,50,0.0
1763666218.9197512,2045000,2,312.0341796875,242.3577117919922,45.359623,49.667614,15,12,15,12,44,49,0.0
1763666218.9197512,2045000,3,472.0487060546875,335.3643493652344,-44.631145,8.4708395,23,16,23,16,49,39,0.0
1763666218.9197512,2045000,4,127.39056396484375,394.7175598144531,-58.403774,53.99594,6,19,5,20,50,53,0.0
1763666218.9197512,2045000,5,260.7314453125,346.9965515136719,-17.10346,-66.496506,13,17,12,16,38,58,0.0
1763666218.9626887,2080000,1,139.46299743652344,233.87310791015625,-43.481243,68.70064,6,11,6,12,41,54,0.0
1763666218.9626887,2080000,2,313.33514404296875,244.0469970703125,36.61732,47.547115,15,12,15,12,43,52,0.0
1763666218.9626887,2080000,3,469.8566589355469,335.8262939453125,-61.697998,13.002027,23,16,23,16,48,40,0.0
1763666218.9626887,2080000,4,125.31879425048828,396.5798645019531,-58.312634,52.41697,6,19,5,20,52,52,0.0
1763666218.9626887,2080000,5,260.1993408203125,344.576416015625,-14.976768,-68.117836,13,17,12,16,38,57,0.0
1763666218.9848542,2115000,1,138.4429473876953,235.97763061523438,-32.37778,66.80042,6,11,6,12,41,55,0.0
1763666218.9848542,2115000,2,314.4891052246094,245.38958740234375,36.628304,42.61565,15,12,15,12,41,51,0.0
1763666218.9848542,2115000,3,467.9548645019531,336.58111572265625,-60.36555,23.959074,23,16,22,17,48,39,0.0
1763666218.9848542,2115000,4,123.38113403320312,398.15869140625,-61.50398,50.11412,6,19,5,20,51,52,0.0
1763666218.9848542,2115000,5,259.7131042480469,342.3459167480469,-15.433813,-70.799095,12,17,12,16,39,55,0.0
1763666219.016917,2145000,1,137.6259307861328,238.11251831054688,-25.551706,66.76734,6,11,6,12,41,57,0.0
1763666219.016917,2145000,2,316.13079833984375,247.38157653808594,51.34297,62.29827,15,12,16,12,43,51,0.0
