unix_time_ms,sim_time_ms,obstacle_id,grid_x,grid_y,neuron_id
1763656259917,2135,2,13,10,333
1763656259920,2138,3,16,6,208
1763656259923,2140,1,16,22,720
1763656259925,2143,2,13,10,333
1763656259928,2146,3,15,6,207
1763656259930,2148,1,17,22,721
1763656259933,2151,2,13,10,333
1763656259936,2154,3,15,6,207
1763656259939,2157,1,17,22,721
1763656259943,2160,2,13,10,333
1763656259945,2163,3,15,6,207
1763656259948,2166,1,18,22,722
1763656259951,2169,2,13,10,333
1763656259953,2171,3,14,6,206
1763656259958,2176,1,18,21,690
1763656259961,2179,2,13,10,333
1763656259963,2181,3,14,6,206
1763656259966,2184,1,19,21,691
1763656259968,2186,2,13,10,333
1763656259971,2189,3,14,6,206
1763656259974,2192,1,20,21,692
1763656259977,2195,2,13,10,333
1763656259980,2197,3,13,6,205
1763656259982,2200,1,20,21,692
1763656259985,2203,2,13,10,333
1763656259988,2206,3,13,6,205
1763656259990,2208,1,21,20,661
1763656259993,2211,2,13,10,333
1763656259996,2213,3,13,6,205
1763656259998,2216,1,21,20,661
1763656260001,2219,2,12,10,332
1763656260004,2222,3,12,6,204
1763656260007,2225,1,22,20,662
1763656260010,2228,2,12,11,364
1763656260013,2231,3,12,6,204
1763656260015,2233,1,22,19,630
1763656260018,2235,2,12,11,364
1763656260020,2238,3,12,7,236
1763656260023,2241,1,23,19,631
1763656260026,2244,2,12,11,364
1763656260029,2247,3,11,7,235
1763656260031,2249,1,23,18,599
1763656260034,2252,2,12,11,364
1763656260036,2254,3,11,7,235
1763656260039,2257,1,23,18,599
1763656260042,2260,2,12,11,364
1763656260045,2263,3,11,7,235
1763656260048,2266,1,24,17,568
1763656260051,2268,2,12,11,364
1763656260053,2271,3,11,7,235
1763656260056,2274,1,24,17,568
1763656260059,2277,2,12,11,364
1763656260061,2279,3,10,8,266
1763656260064,2282,1,24,16,536
1763656260067,2284,2,12,11,364
