unix_time_ms,sim_time_ms,robot_id,grid_x,grid_y,neuron_id,event_type
1763662373047,6432,4,28,12,412,inject
1763662373057,6442,2,27,5,187,inject
1763662373067,6453,3,13,13,429,inject
1763662373078,6463,1,21,12,405,inject
1763662373088,6473,5,10,6,202,inject
1763662373098,6484,4,27,12,411,inject
1763662373108,6494,2,27,5,187,inject
1763662373119,6504,3,13,13,429,inject
1763662373129,6515,1,21,12,405,inject
1763662373139,6525,5,10,6,202,inject
1763662373150,6535,4,27,12,411,inject
1763662373160,6546,2,28,5,188,inject
1763662373170,6556,3,12,13,428,inject
1763662373181,6566,1,21,11,373,inject
1763662373191,6577,5,10,6,202,inject
1763662373201,6587,4,27,12,411,inject
1763662373213,6598,2,28,5,188,inject
1763662373223,6609,3,12,13,428,inject
1763662373233,6619,1,21,11,373,inject
1763662373244,6629,5,10,6,202,inject
1763662373254,6639,4,27,12,411,inject
1763662373264,6650,2,28,5,188,inject
1763662373275,6660,3,12,13,428,inject
1763662373285,6671,1,21,11,373,inject
1763662373296,6681,5,9,6,201,inject
1763662373306,6691,4,27,12,411,inject
1763662373316,6702,2,28,4,156,inject
1763662373327,6712,3,12,13,428,inject
1763662373337,6723,1,21,11,373,inject
1763662373348,6733,5,9,6,201,inject
1763662373358,6744,4,27,12,411,inject
1763662373368,6754,2,28,4,156,inject
1763662373379,6764,3,12,13,428,inject
1763662373389,6774,1,21,11,373,inject
1763662373399,6785,5,9,6,201,inject
1763662373410,6795,4,27,12,411,inject
1763662373420,6805,2,28,4,156,inject
1763662373430,6816,3,12,13,428,inject
1763662373441,6826,1,21,11,373,inject
1763662373451,6836,5,9,6,201,inject
1763662373461,6847,4,27,12,411,inject
1763662373472,6857,2,28,4,156,inject
